query,seller_name,seller_id,rate
balo ronal 12 cung hoàng đạo,Ba Lô Túi Xách Ronal,13,0.97674418604651159
ronal,Ba Lô Túi Xách Ronal,13,0.8934686112872543
balo ronal,Ba Lô Túi Xách Ronal,13,0.67401791867677463
yeah,Trần Doanh,40,1.0
áo phông giá re,Trần Doanh,40,1.0
áo phông rẻ tiền,Trần Doanh,40,0.99137931034482762
nouvelle,Trần Doanh,40,0.98130841121495327
áo thun hình cô gái,Trần Doanh,40,0.97080291970802923
áo  thun  nam  dai  màu  đen,Trần Doanh,40,0.93333333333333335
áo phông rọing,Trần Doanh,40,0.92741935483870963
áo phông nu,Trần Doanh,40,0.90839694656488545
áo phông hoc sinh,Trần Doanh,40,0.89375
áo phông exo,Trần Doanh,40,0.86956521739130432
"ao phong ",Trần Doanh,40,0.83333333333333337
"áo thun đen chất ",Trần Doanh,40,0.83125
áo phông đi học,Trần Doanh,40,0.80645161290322576
áo tập gym ba lỗ,Trần Doanh,40,0.79646017699115046
áo phông rẻ,Trần Doanh,40,0.72463768115942029
áo phông giấy,Trần Doanh,40,0.708171206225681
"áo thun màu trắng ",Trần Doanh,40,0.7068965517241379
áo phông nữ giá rẻ,Trần Doanh,40,0.7035688273852877
áo thun dài tay ngắn cổ tròn giá rẻ,Trần Doanh,40,0.69343065693430661
áo y3,Trần Doanh,40,0.67567567567567566
áo thun trôn màu đỏ,Trần Doanh,40,0.67567567567567566
"áo crotop cá tính  màu đen ",Trần Doanh,40,0.67307692307692313
xe đạp fixed gear air bike,M-K,48,0.72033898305084743
ao ngu boya,Vicsexy,57,0.67123287671232879
áo su gài trước,Vicsexy,57,0.64516129032258063
giày thể thao sneakers nam passo g208bút con gấu,123MALL,61,1.0
passo g183,123MALL,61,1.0
vn157,123MALL,61,1.0
bl395,123MALL,61,1.0
vn156,123MALL,61,1.0
giày thể thao sneakers nam passo g208,123MALL,61,1.0
bltk358,123MALL,61,1.0
vn152,123MALL,61,1.0
giay sneaker g233,123MALL,61,0.99082568807339455
passo g199,123MALL,61,0.95652173913043481
bl404,123MALL,61,0.95081967213114749
giày passo nam g183,123MALL,61,0.95049504950495045
vanoca,123MALL,61,0.9453125
ba lô laza,123MALL,61,0.92913385826771655
túi laza,123MALL,61,0.91194968553459121
túi vanoca,123MALL,61,0.9058441558441559
túi xách hành lý laza,123MALL,61,0.83333333333333337
giày sneaker thể thao nam passo,123MALL,61,0.83116883116883122
laza balo túi xach,123MALL,61,0.82068965517241377
túi đeo chéo vanoca,123MALL,61,0.81568627450980391
"passo ",123MALL,61,0.8045977011494253
giày passo g165,123MALL,61,0.80188679245283023
giày sneaker passo nam,123MALL,61,0.79807692307692313
giày sneaker passo nữ,123MALL,61,0.7857142857142857
passo nam,123MALL,61,0.779374471682164
balo laptop laza,123MALL,61,0.77892918825561308
balo vanoca,123MALL,61,0.77846153846153843
"balo laza ",123MALL,61,0.77070063694267521
sneaker nam passo,123MALL,61,0.72941176470588232
túi đeo nữ vanoca,123MALL,61,0.72093023255813948
túi xách vanoca,123MALL,61,0.71879936808846756
balo thời trang laza,123MALL,61,0.71120689655172409
giầy snaker nam passo g136,123MALL,61,0.70895522388059706
"giày sneaker thể thao nữ ",123MALL,61,0.7055555555555556
giày mọi vải nam passo,123MALL,61,0.70434782608695656
giày passo nam,123MALL,61,0.69694323144104808
laza,123MALL,61,0.68988811484061641
passo nữ,123MALL,61,0.68345323741007191
túi xách nữ vanoca,123MALL,61,0.68316831683168322
giày boot nam,123MALL,61,0.67567567567567566
balo laza,123MALL,61,0.67366720516962841
passo,123MALL,61,0.66749921948173585
dày thể thao chính hảng,123MALL,61,0.66433566433566438
giay the thao re nu,123MALL,61,0.66141732283464572
giày nữ sneaker passo g111,123MALL,61,0.65753424657534243
giày snacker nữ passo gtk045,123MALL,61,0.64690026954177893
giày passo,123MALL,61,0.64367816091954022
giày sneaker thể thao nữ passo,123MALL,61,0.625
giay passo,123MALL,61,0.62355658198614317
balo laza nam,123MALL,61,0.61864406779661019
balo laza bltk358,123MALL,61,0.61136712749615973
giày seaker thể thao nữ,123MALL,61,0.60810810810810811
giày nam passo,123MALL,61,0.60591715976331362
"giay sneaker nam ",123MALL,61,0.60185185185185186
ghế luwoif hạt xốp,Phú Mỹ,77,0.99337748344370858
nệm hạt xốp,Phú Mỹ,77,0.99285714285714288
ghế lười xốp,Phú Mỹ,77,0.99264705882352944
ghế hạt xốp,Phú Mỹ,77,0.9762532981530343
ghế xốp,Phú Mỹ,77,0.97431018078020937
gối lười hạt xốp,Phú Mỹ,77,0.95630252100840341
ghế lười hình quả lê,Phú Mỹ,77,0.94214876033057848
ghe luoi hat xop,Phú Mỹ,77,0.93403693931398413
"gối lười hạt xốp lớn ",Phú Mỹ,77,0.92561983471074383
ghế lười hạt xốp,Phú Mỹ,77,0.836989907854322
ghế lười quả lê,Phú Mỹ,77,0.82677165354330706
hạt xốp ghế lười,Phú Mỹ,77,0.76699029126213591
gối hạt xốp,Phú Mỹ,77,0.66595289079229125
ghế lười giọt nước,Phú Mỹ,77,0.65346534653465349
ghế lười?utm_source=google,Phú Mỹ,77,0.65034965034965031
julia,CHĂN GA GỐI CAO CẤP JULIA,83,0.88410596026490063
