query,seller_name,seller_id,rate
balo ronal cung hoàng đạo,Ba Lô Túi Xách Ronal,13,0.99056603773584906
ronal,Ba Lô Túi Xách Ronal,13,0.875
ba lô ronal,Ba Lô Túi Xách Ronal,13,0.85576923076923073
balo ronal,Ba Lô Túi Xách Ronal,13,0.797274275979557
yeah,Trần Doanh,40,1.0
áo phông avocado,Trần Doanh,40,1.0
any more,Trần Doanh,40,1.0
áo đi lễ màu trắng,Trần Doanh,40,1.0
áo thun có chữ x màu đen,Trần Doanh,40,1.0
áo phông nữ avocado,Trần Doanh,40,1.0
áo phông giá re,Trần Doanh,40,1.0
áo thể thao croptop xoắn eo,Trần Doanh,40,1.0
áo phông yeah,Trần Doanh,40,0.99779492833517092
áo phông rẻ tiền,Trần Doanh,40,0.99173553719008267
áo thun hình cô gái,Trần Doanh,40,0.97080291970802923
ao phong je,Trần Doanh,40,0.96491228070175439
thun gân,Trần Doanh,40,0.95238095238095233
áo  thun  nam  dai  màu  đen,Trần Doanh,40,0.93333333333333335
áo phông rọing,Trần Doanh,40,0.92741935483870963
áo phông hoc sinh,Trần Doanh,40,0.91052631578947374
nouvelle,Trần Doanh,40,0.90604026845637586
ao phong,Trần Doanh,40,0.90090090090090091
áo phông je,Trần Doanh,40,0.89622641509433965
áo phông đi học,Trần Doanh,40,0.86206896551724133
áo phông rẻ,Trần Doanh,40,0.85648148148148151
áo phông rẻ đẹp,Trần Doanh,40,0.83850931677018636
dau cham,Trần Doanh,40,0.83647798742138368
áo phông n,Trần Doanh,40,0.83333333333333337
áo thun đen chất,Trần Doanh,40,0.83125
áo phông exo,Trần Doanh,40,0.821917808219178
áo phông nu,Trần Doanh,40,0.79341317365269459
áp phông nữ,Trần Doanh,40,0.76923076923076927
áo nhóm màu đen,Trần Doanh,40,0.75980392156862742
chup anh gia dinh,Trần Doanh,40,0.75568181818181823
áo phông nữ trắng đen,Trần Doanh,40,0.74193548387096775
áo phông nhung nữ,Trần Doanh,40,0.73584905660377353
áo croptop chéo eo,Trần Doanh,40,0.70769230769230773
áo thun màu trắng,Trần Doanh,40,0.7068965517241379
áo phông nữ giá rẻ,Trần Doanh,40,0.69961977186311786
áo thun dài tay ngắn cổ tròn giá rẻ,Trần Doanh,40,0.69343065693430661
áo ba lỗ tập yoga nữ,Trần Doanh,40,0.69288389513108617
áo y3,Trần Doanh,40,0.67567567567567566
nón y3,Trần Doanh,40,0.67567567567567566
áo thun trôn màu đỏ,Trần Doanh,40,0.67567567567567566
áo crotop cá tính  màu đen,Trần Doanh,40,0.67307692307692313
áo thung trơn nam,Trần Doanh,40,0.66666666666666663
thọ khang bảo giám,Chính Thông,46,0.70370370370370372
xe đạp fixed gear air bike mk78,M-K,48,0.90517241379310343
xe đạp fixed gear air bike,M-K,48,0.76271186440677963
ao ngu boya,Vicsexy,57,0.67123287671232879
áo lót boya,Vicsexy,57,0.66666666666666663
passo g183,123MALL,61,1.0
g183,123MALL,61,1.0
vn157,123MALL,61,1.0
vn156,123MALL,61,1.0
bl395,123MALL,61,1.0
g216,123MALL,61,1.0
g199,123MALL,61,1.0
giay sneaker g233,123MALL,61,0.99082568807339455
ba lô laza,123MALL,61,0.98347107438016534
passo g199,123MALL,61,0.96875
giày passo nam g183,123MALL,61,0.96183206106870234
bl404,123MALL,61,0.95774647887323938
vanoca,123MALL,61,0.9455667789001122
giày thể thao sneaker nữ passo g222,123MALL,61,0.93377483443708609
túi vanoca,123MALL,61,0.92540322580645162
túi laza,123MALL,61,0.91189427312775329
balo vanoca,123MALL,61,0.90927021696252464
balo laza,123MALL,61,0.85096153846153844
túi đeo chéo vanoca,123MALL,61,0.84307692307692306
sneaker biti hunter nam,123MALL,61,0.84210526315789469
laza balo túi xach,123MALL,61,0.83333333333333337
giày sneaker thể thao nam passo,123MALL,61,0.82512315270935965
giay passo nam,123MALL,61,0.82236842105263153
túi xách hành lý laza,123MALL,61,0.81081081081081086
snaker passo nam,123MALL,61,0.80769230769230771
giay the thao nam passo,123MALL,61,0.79861111111111116
giày sneaker passo nam,123MALL,61,0.79807692307692313
passo nam,123MALL,61,0.79158576051779939
balo thời trang laza,123MALL,61,0.78730158730158728
balo laptop laza,123MALL,61,0.78468208092485547
balo laza,123MALL,61,0.78249866808737345
túi xách vanoca,123MALL,61,0.75984251968503935
sneaker nam passo,123MALL,61,0.75563909774436089
balo laza bltk358,123MALL,61,0.74235104669887275
giày sneaker thể thao nữ,123MALL,61,0.72558139534883725
giày mọi vải nam passo,123MALL,61,0.72180451127819545
giày passo nam,123MALL,61,0.715528781793842
giày sneaker passo nữ,123MALL,61,0.7024793388429752
laza,123MALL,61,0.70234515935057129
balo nam laza,123MALL,61,0.68888888888888888
passo,123MALL,61,0.68112215078901228
túi đeo nữ vanoca,123MALL,61,0.68035190615835772
giày thể thao sneaker nam passo g183,123MALL,61,0.677570093457944
túi xách nữ vanoca,123MALL,61,0.66666666666666663
giayg nữ passo,123MALL,61,0.66666666666666663
dày thể thao chính hảng,123MALL,61,0.66433566433566438
balo laza bltk221 - xám 45 x 19 cm,123MALL,61,0.66013071895424835
ghế lười hạt xốp,Phú Mỹ,77,1.0
ghế hạt,Phú Mỹ,77,1.0
ghế lười hạt xốp hình giọt nước size lớn,Phú Mỹ,77,1.0
gối lười hạt xốp hình thuyền,Phú Mỹ,77,1.0
ghế lười hình trunwgs,Phú Mỹ,77,1.0
ghế lười hạt xốp màu hồng,Phú Mỹ,77,1.0
ghế ngồi xốp,Phú Mỹ,77,0.99841521394611732
nệm hạt xốp,Phú Mỹ,77,0.99615384615384617
ghế luwoif hạt xốp,Phú Mỹ,77,0.99337748344370858
ghế hạt xốp,Phú Mỹ,77,0.99064074874010077
ghế xốp,Phú Mỹ,77,0.98456260720411659
ghế lười xốp,Phú Mỹ,77,0.98089171974522293
gối lười hạt xốp,Phú Mỹ,77,0.972957586108739
